事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：身体,主たる対象者：難病,利用定員,多機能の有無,指定日,共生型指定
2714101785,脳卒中リハビリセンター・トリニティ,06-6454-1575,06-6454-1585,531-0076,大阪府大阪市北区大淀中二丁目１１番８号　プレジャーズコーポレーションビル３階,株式会社ハーベストワークス,○,○,20,,2019/09/01,
2715201428,脳卒中リハビリセンター・トリニティ都島,06-6467-4288,06-6467-4289,534-0027,大阪府大阪市都島区中野町四丁目４番２号　大阪印刷会館１階,株式会社ハーベストワークス,○,○,20,,2022/06/01,
2719102176,リハビリセンター癒の道,06-6836-9161,06-6836-9162,532-0003,大阪府大阪市淀川区宮原二丁目９番１号　アネックス新大阪１階,株式会社癒の道グループ,○,○,26,○,2021/06/01,
2719102176,フィジメントレニングセンター癒の道,06-6836-9161,06-6836-9162,532-0023,大阪府大阪市淀川区十三東五丁目２番１９号　ＰＳ大阪ビル２階,株式会社癒の道グループ,○,○,10,○,2021/06/01,
2712202908,看護小規模多機能ホーム　なごみ庵,06-6754-0025,06-6754-0026,544-0013,大阪府大阪市生野区巽中四丁目１番１号　 ,株式会社元気な介護,○,○,15,,2020/04/01,○
2719200426,日本ライトハウスきらきら,06-6961-5521,06-6961-6268,538-0042,大阪府大阪市鶴見区今津中二丁目４番３７号　,社会福祉法人日本ライトハウス,○,,19,,2009/04/01,
2712000617,大阪府立障害者自立センター,06-6692-2971,06-6692-2974,558-0001,大阪府大阪市住吉区大領三丁目２番３６号　,大阪府,○,,70,○,2007/04/01,
2715801078,大阪市更生療育センター,06-6797-6681,06-6702-4492,547-0026,大阪府大阪市平野区喜連西六丁目２番５５号　,社会福祉法人　大阪市障害者福祉・スポーツ協会,○,,20,○,2009/04/01,
2713303721,デイサービスひいらぎ,06-4397-6669,06-4397-6679,557-0001,大阪府大阪市西成区山王二丁目５番１４号　 ,有限会社　リーシェ,○,○,17,○,2018/05/01,○
2713303739,Ｆｅｌｉｃｅ　Ｌｉｆｅ,06-4980-1534,06-4981-1150,557-0043,大阪府大阪市西成区玉出東一丁目１１番５号　プルメリア玉出１階,合同会社やどかりｓｉｈａｎｏｕｋ,○,○,19,,2018/05/01,○
